date,day_index,day_of_week,is_weekend,month,seasonal_weight,weekend_weight,growth_weight,daily_demand,daily_sales,stockout_units,incoming_stock,stock_level,holding_cost,stockout_penalty,total_cost
2024-04-13,103,5,True,4,1.04,1.4,1.0282,155,155,0,0,3706.0,7412.0,0.0,7412.0
2024-04-14,104,6,True,4,1.044,1.4,1.0285,149,149,0,2800,6357.0,12714.0,0.0,12714.0
2024-04-15,105,0,False,4,1.047,1.0,1.0288,99,99,0,1400,7658.0,15316.0,0.0,15316.0
2024-04-16,106,1,False,4,1.05,1.0,1.029,119,119,0,0,7539.0,15078.0,0.0,15078.0
2024-04-17,107,2,False,4,1.054,1.0,1.0293,89,89,0,0,7450.0,14900.0,0.0,14900.0
2024-04-18,108,3,False,4,1.057,1.0,1.0296,96,96,0,0,7354.0,14708.0,0.0,14708.0
2024-04-19,109,4,False,4,1.06,1.0,1.0299,103,103,0,0,7251.0,14502.0,0.0,14502.0
2024-04-20,110,5,True,4,1.063,1.4,1.0301,175,175,0,0,7076.0,14152.0,0.0,14152.0
2024-04-21,111,6,True,4,1.067,1.4,1.0304,146,146,0,0,6930.0,13860.0,0.0,13860.0
2024-04-22,112,0,False,4,1.07,1.0,1.0307,95,95,0,0,6835.0,13670.0,0.0,13670.0
2024-04-23,113,1,False,4,1.073,1.0,1.031,88,88,0,0,6747.0,13494.0,0.0,13494.0
2024-04-24,114,2,False,4,1.076,1.0,1.0312,88,88,0,0,6659.0,13318.0,0.0,13318.0
2024-04-25,115,3,False,4,1.08,1.0,1.0315,117,117,0,0,6542.0,13084.0,0.0,13084.0
2024-04-26,116,4,False,4,1.083,1.0,1.0318,106,106,0,0,6436.0,12872.0,0.0,12872.0
2024-04-27,117,5,True,4,1.086,1.4,1.0321,174,174,0,0,6262.0,12524.0,0.0,12524.0
2024-04-28,118,6,True,4,1.089,1.4,1.0323,127,127,0,0,6135.0,12270.0,0.0,12270.0
2024-04-29,119,0,False,4,1.092,1.0,1.0326,104,104,0,0,6031.0,12062.0,0.0,12062.0
2024-04-30,120,1,False,4,1.095,1.0,1.0329,115,115,0,0,5916.0,11832.0,0.0,11832.0
2024-05-01,121,2,False,5,1.098,1.0,1.0332,89,89,0,0,5827.0,11654.0,0.0,11654.0
2024-05-02,122,3,False,5,1.101,1.0,1.0334,114,114,0,0,5713.0,11426.0,0.0,11426.0
2024-05-03,123,4,False,5,1.104,1.0,1.0337,126,126,0,0,5587.0,11174.0,0.0,11174.0
2024-05-04,124,5,True,5,1.107,1.4,1.034,183,183,0,0,5404.0,10808.0,0.0,10808.0
2024-05-05,125,6,True,5,1.11,1.4,1.0342,172,172,0,0,5232.0,10464.0,0.0,10464.0
2024-05-06,126,0,False,5,1.113,1.0,1.0345,125,125,0,0,5107.0,10214.0,0.0,10214.0
2024-05-07,127,1,False,5,1.115,1.0,1.0348,116,116,0,0,4991.0,9982.0,0.0,9982.0
2024-05-08,128,2,False,5,1.118,1.0,1.0351,129,129,0,0,4862.0,9724.0,0.0,9724.0
2024-05-09,129,3,False,5,1.121,1.0,1.0353,112,112,0,0,4750.0,9500.0,0.0,9500.0
2024-05-10,130,4,False,5,1.124,1.0,1.0356,109,109,0,0,4641.0,9282.0,0.0,9282.0
2024-05-11,131,5,True,5,1.126,1.4,1.0359,162,162,0,0,4479.0,8958.0,0.0,8958.0
2024-05-12,132,6,True,5,1.129,1.4,1.0362,153,153,0,0,4326.0,8652.0,0.0,8652.0
2024-05-13,133,0,False,5,1.132,1.0,1.0364,113,113,0,0,4213.0,8426.0,0.0,8426.0
2024-05-14,134,1,False,5,1.134,1.0,1.0367,114,114,0,0,4099.0,8198.0,0.0,8198.0
2024-05-15,135,2,False,5,1.137,1.0,1.037,136,136,0,0,3963.0,7926.0,0.0,7926.0
2024-05-16,136,3,False,5,1.139,1.0,1.0373,113,113,0,0,3850.0,7700.0,0.0,7700.0
2024-05-17,137,4,False,5,1.142,1.0,1.0375,131,131,0,0,3719.0,7438.0,0.0,7438.0
2024-05-18,138,5,True,5,1.144,1.4,1.0378,179,179,0,0,3540.0,7080.0,0.0,7080.0
2024-05-19,139,6,True,5,1.146,1.4,1.0381,172,172,0,0,3368.0,6736.0,0.0,6736.0
2024-05-20,140,0,False,5,1.149,1.0,1.0384,127,127,0,0,3241.0,6482.0,0.0,6482.0
2024-05-21,141,1,False,5,1.151,1.0,1.0386,126,126,0,0,3115.0,6230.0,0.0,6230.0
2024-05-22,142,2,False,5,1.153,1.0,1.0389,106,106,0,0,3009.0,6018.0,0.0,6018.0
2024-05-23,143,3,False,5,1.156,1.0,1.0392,103,103,0,0,2906.0,5812.0,0.0,5812.0
2024-05-24,144,4,False,5,1.158,1.0,1.0395,131,131,0,0,2775.0,5550.0,0.0,5550.0
2024-05-25,145,5,True,5,1.16,1.4,1.0397,180,180,0,0,2595.0,5190.0,0.0,5190.0
2024-05-26,146,6,True,5,1.162,1.4,1.04,197,197,0,0,2398.0,4796.0,0.0,4796.0
2024-05-27,147,0,False,5,1.164,1.0,1.0403,124,124,0,0,2274.0,4548.0,0.0,4548.0
2024-05-28,148,1,False,5,1.166,1.0,1.0405,125,125,0,0,2149.0,4298.0,0.0,4298.0
2024-05-29,149,2,False,5,1.168,1.0,1.0408,124,124,0,0,2025.0,4050.0,0.0,4050.0
2024-05-30,150,3,False,5,1.17,1.0,1.0411,121,121,0,0,1904.0,3808.0,0.0,3808.0
2024-05-31,151,4,False,5,1.171,1.0,1.0414,131,131,0,0,1773.0,3546.0,0.0,3546.0
2024-06-01,152,5,True,6,1.173,1.4,1.0416,171,171,0,0,1602.0,3204.0,0.0,3204.0
2024-06-02,153,6,True,6,1.175,1.4,1.0419,196,196,0,0,1406.0,2812.0,0.0,2812.0
2024-06-03,154,0,False,6,1.176,1.0,1.0422,107,107,0,0,1299.0,2598.0,0.0,2598.0
2024-06-04,155,1,False,6,1.178,1.0,1.0425,128,128,0,0,1171.0,2342.0,0.0,2342.0
2024-06-05,156,2,False,6,1.18,1.0,1.0427,133,133,0,0,1038.0,2076.0,0.0,2076.0
2024-06-06,157,3,False,6,1.181,1.0,1.043,118,118,0,0,920.0,1840.0,0.0,1840.0
2024-06-07,158,4,False,6,1.182,1.0,1.0433,132,132,0,0,788.0,1576.0,0.0,1576.0
2024-06-08,159,5,True,6,1.184,1.4,1.0436,168,168,0,0,620.0,1240.0,0.0,1240.0
2024-06-09,160,6,True,6,1.185,1.4,1.0438,171,171,0,0,449.0,898.0,0.0,898.0
2024-06-10,161,0,False,6,1.186,1.0,1.0441,125,125,0,0,324.0,648.0,0.0,648.0
2024-06-11,162,1,False,6,1.188,1.0,1.0444,123,123,0,0,201.0,402.0,0.0,402.0
2024-06-12,163,2,False,6,1.189,1.0,1.0447,109,109,0,0,92.0,184.0,0.0,184.0
2024-06-13,164,3,False,6,1.19,1.0,1.0449,109,92,17,0,0.0,0.0,255.0,255.0
2024-06-14,165,4,False,6,1.191,1.0,1.0452,136,136,0,1400,1264.0,2528.0,0.0,2528.0
2024-06-15,166,5,True,6,1.192,1.4,1.0455,173,173,0,0,1091.0,2182.0,0.0,2182.0
2024-06-16,167,6,True,6,1.193,1.4,1.0458,167,167,0,0,924.0,1848.0,0.0,1848.0
2024-06-17,168,0,False,6,1.194,1.0,1.046,135,135,0,1400,2189.0,4378.0,0.0,4378.0
2024-06-18,169,1,False,6,1.195,1.0,1.0463,118,118,0,2800,4871.0,9742.0,0.0,9742.0
2024-06-19,170,2,False,6,1.195,1.0,1.0466,131,131,0,2800,7540.0,15080.0,0.0,15080.0
2024-06-20,171,3,False,6,1.196,1.0,1.0468,107,107,0,0,7433.0,14866.0,0.0,14866.0
2024-06-21,172,4,False,6,1.197,1.0,1.0471,111,111,0,0,7322.0,14644.0,0.0,14644.0
2024-06-22,173,5,True,6,1.197,1.4,1.0474,163,163,0,0,7159.0,14318.0,0.0,14318.0
2024-06-23,174,6,True,6,1.198,1.4,1.0477,182,182,0,0,6977.0,13954.0,0.0,13954.0
2024-06-24,175,0,False,6,1.198,1.0,1.0479,129,129,0,0,6848.0,13696.0,0.0,13696.0
2024-06-25,176,1,False,6,1.199,1.0,1.0482,116,116,0,0,6732.0,13464.0,0.0,13464.0
2024-06-26,177,2,False,6,1.199,1.0,1.0485,146,146,0,0,6586.0,13172.0,0.0,13172.0
2024-06-27,178,3,False,6,1.199,1.0,1.0488,132,132,0,0,6454.0,12908.0,0.0,12908.0
2024-06-28,179,4,False,6,1.2,1.0,1.049,97,97,0,0,6357.0,12714.0,0.0,12714.0
2024-06-29,180,5,True,6,1.2,1.4,1.0493,158,158,0,0,6199.0,12398.0,0.0,12398.0
2024-06-30,181,6,True,6,1.2,1.4,1.0496,186,186,0,0,6013.0,12026.0,0.0,12026.0
2024-07-01,182,0,False,7,1.2,1.0,1.0499,139,139,0,0,5874.0,11748.0,0.0,11748.0
2024-07-02,183,1,False,7,1.2,1.0,1.0501,134,134,0,0,5740.0,11480.0,0.0,11480.0
2024-07-03,184,2,False,7,1.2,1.0,1.0504,118,118,0,0,5622.0,11244.0,0.0,11244.0
2024-07-04,185,3,False,7,1.2,1.0,1.0507,102,102,0,0,5520.0,11040.0,0.0,11040.0
2024-07-05,186,4,False,7,1.2,1.0,1.051,133,133,0,0,5387.0,10774.0,0.0,10774.0
2024-07-06,187,5,True,7,1.199,1.4,1.0512,155,155,0,0,5232.0,10464.0,0.0,10464.0
2024-07-07,188,6,True,7,1.199,1.4,1.0515,188,188,0,0,5044.0,10088.0,0.0,10088.0
2024-07-08,189,0,False,7,1.199,1.0,1.0518,128,128,0,0,4916.0,9832.0,0.0,9832.0
2024-07-09,190,1,False,7,1.198,1.0,1.0521,150,150,0,0,4766.0,9532.0,0.0,9532.0
2024-07-10,191,2,False,7,1.198,1.0,1.0523,129,129,0,0,4637.0,9274.0,0.0,9274.0
2024-07-11,192,3,False,7,1.197,1.0,1.0526,112,112,0,0,4525.0,9050.0,0.0,9050.0
2024-07-12,193,4,False,7,1.197,1.0,1.0529,123,123,0,0,4402.0,8804.0,0.0,8804.0
2024-07-13,194,5,True,7,1.196,1.4,1.0532,158,158,0,0,4244.0,8488.0,0.0,8488.0
2024-07-14,195,6,True,7,1.195,1.4,1.0534,167,167,0,0,4077.0,8154.0,0.0,8154.0
2024-07-15,196,0,False,7,1.195,1.0,1.0537,124,124,0,0,3953.0,7906.0,0.0,7906.0
2024-07-16,197,1,False,7,1.194,1.0,1.054,130,130,0,0,3823.0,7646.0,0.0,7646.0
2024-07-17,198,2,False,7,1.193,1.0,1.0542,123,123,0,0,3700.0,7400.0,0.0,7400.0
2024-07-18,199,3,False,7,1.192,1.0,1.0545,129,129,0,0,3571.0,7142.0,0.0,7142.0
2024-07-19,200,4,False,7,1.191,1.0,1.0548,125,125,0,0,3446.0,6892.0,0.0,6892.0
2024-07-20,201,5,True,7,1.19,1.4,1.0551,178,178,0,0,3268.0,6536.0,0.0,6536.0
2024-07-21,202,6,True,7,1.189,1.4,1.0553,184,184,0,0,3084.0,6168.0,0.0,6168.0
2024-07-22,203,0,False,7,1.188,1.0,1.0556,130,130,0,0,2954.0,5908.0,0.0,5908.0
2024-07-23,204,1,False,7,1.186,1.0,1.0559,135,135,0,0,2819.0,5638.0,0.0,5638.0
2024-07-24,205,2,False,7,1.185,1.0,1.0562,123,123,0,0,2696.0,5392.0,0.0,5392.0
2024-07-25,206,3,False,7,1.184,1.0,1.0564,120,120,0,0,2576.0,5152.0,0.0,5152.0
2024-07-26,207,4,False,7,1.182,1.0,1.0567,133,133,0,0,2443.0,4886.0,0.0,4886.0
2024-07-27,208,5,True,7,1.181,1.4,1.057,198,198,0,0,2245.0,4490.0,0.0,4490.0
2024-07-28,209,6,True,7,1.18,1.4,1.0573,175,175,0,0,2070.0,4140.0,0.0,4140.0
2024-07-29,210,0,False,7,1.178,1.0,1.0575,118,118,0,0,1952.0,3904.0,0.0,3904.0
2024-07-30,211,1,False,7,1.176,1.0,1.0578,124,124,0,0,1828.0,3656.0,0.0,3656.0
2024-07-31,212,2,False,7,1.175,1.0,1.0581,104,104,0,0,1724.0,3448.0,0.0,3448.0
2024-08-01,213,3,False,8,1.173,1.0,1.0584,101,101,0,0,1623.0,3246.0,0.0,3246.0
2024-08-02,214,4,False,8,1.171,1.0,1.0586,118,118,0,0,1505.0,3010.0,0.0,3010.0
2024-08-03,215,5,True,8,1.17,1.4,1.0589,166,166,0,0,1339.0,2678.0,0.0,2678.0
2024-08-04,216,6,True,8,1.168,1.4,1.0592,189,189,0,0,1150.0,2300.0,0.0,2300.0
2024-08-05,217,0,False,8,1.166,1.0,1.0595,110,110,0,0,1040.0,2080.0,0.0,2080.0
2024-08-06,218,1,False,8,1.164,1.0,1.0597,108,108,0,0,932.0,1864.0,0.0,1864.0
2024-08-07,219,2,False,8,1.162,1.0,1.06,133,133,0,0,799.0,1598.0,0.0,1598.0
2024-08-08,220,3,False,8,1.16,1.0,1.0603,129,129,0,0,670.0,1340.0,0.0,1340.0
2024-08-09,221,4,False,8,1.158,1.0,1.0605,127,127,0,0,543.0,1086.0,0.0,1086.0
2024-08-10,222,5,True,8,1.156,1.4,1.0608,173,173,0,0,370.0,740.0,0.0,740.0
2024-08-11,223,6,True,8,1.153,1.4,1.0611,173,173,0,0,197.0,394.0,0.0,394.0
2024-08-12,224,0,False,8,1.151,1.0,1.0614,108,108,0,0,89.0,178.0,0.0,178.0
2024-08-13,225,1,False,8,1.149,1.0,1.0616,103,89,14,0,0.0,0.0,210.0,210.0
2024-08-14,226,2,False,8,1.146,1.0,1.0619,121,121,0,1400,1279.0,2558.0,0.0,2558.0
2024-08-15,227,3,False,8,1.144,1.0,1.0622,95,95,0,1400,2584.0,5168.0,0.0,5168.0
2024-08-16,228,4,False,8,1.142,1.0,1.0625,114,114,0,0,2470.0,4940.0,0.0,4940.0
2024-08-17,229,5,True,8,1.139,1.4,1.0627,173,173,0,1400,3697.0,7394.0,0.0,7394.0
2024-08-18,230,6,True,8,1.137,1.4,1.063,147,147,0,1400,4950.0,9900.0,0.0,9900.0
2024-08-19,231,0,False,8,1.134,1.0,1.0633,133,133,0,0,4817.0,9634.0,0.0,9634.0
2024-08-20,232,1,False,8,1.132,1.0,1.0636,125,125,0,2800,7492.0,14984.0,0.0,14984.0
2024-08-21,233,2,False,8,1.129,1.0,1.0638,129,129,0,0,7363.0,14726.0,0.0,14726.0
2024-08-22,234,3,False,8,1.126,1.0,1.0641,115,115,0,0,7248.0,14496.0,0.0,14496.0
2024-08-23,235,4,False,8,1.124,1.0,1.0644,114,114,0,0,7134.0,14268.0,0.0,14268.0
2024-08-24,236,5,True,8,1.121,1.4,1.0647,166,166,0,0,6968.0,13936.0,0.0,13936.0
2024-08-25,237,6,True,8,1.118,1.4,1.0649,182,182,0,0,6786.0,13572.0,0.0,13572.0
2024-08-26,238,0,False,8,1.115,1.0,1.0652,136,136,0,0,6650.0,13300.0,0.0,13300.0
2024-08-27,239,1,False,8,1.113,1.0,1.0655,132,132,0,0,6518.0,13036.0,0.0,13036.0
2024-08-28,240,2,False,8,1.11,1.0,1.0658,118,118,0,0,6400.0,12800.0,0.0,12800.0
2024-08-29,241,3,False,8,1.107,1.0,1.066,102,102,0,0,6298.0,12596.0,0.0,12596.0
2024-08-30,242,4,False,8,1.104,1.0,1.0663,136,136,0,0,6162.0,12324.0,0.0,12324.0
2024-08-31,243,5,True,8,1.101,1.4,1.0666,151,151,0,0,6011.0,12022.0,0.0,12022.0
2024-09-01,244,6,True,9,1.098,1.4,1.0668,151,151,0,0,5860.0,11720.0,0.0,11720.0
2024-09-02,245,0,False,9,1.095,1.0,1.0671,136,136,0,0,5724.0,11448.0,0.0,11448.0
2024-09-03,246,1,False,9,1.092,1.0,1.0674,110,110,0,0,5614.0,11228.0,0.0,11228.0
2024-09-04,247,2,False,9,1.089,1.0,1.0677,123,123,0,0,5491.0,10982.0,0.0,10982.0
2024-09-05,248,3,False,9,1.086,1.0,1.0679,115,115,0,0,5376.0,10752.0,0.0,10752.0
2024-09-06,249,4,False,9,1.083,1.0,1.0682,132,132,0,0,5244.0,10488.0,0.0,10488.0
2024-09-07,250,5,True,9,1.08,1.4,1.0685,178,178,0,0,5066.0,10132.0,0.0,10132.0
2024-09-08,251,6,True,9,1.076,1.4,1.0688,170,170,0,0,4896.0,9792.0,0.0,9792.0
